YEAR,DEPARTMENT_LOCATION_ZIP_CODE,PAY_TOTAL_ACTUAL
2010,U Mass Amherst,4392709.1
2010,U Mass Boston,327133.63
2010,U Mass Dartmouth,184062.22
2010,U Mass Lowell,397603.67
2011,U Mass Amherst,5278125.25
2011,U Mass Boston,370607.24
2011,U Mass Dartmouth,202834.16
2011,U Mass Lowell,755792.61
2012,U Mass Amherst,5490856.99
2012,U Mass Boston,394156.68
2012,U Mass Dartmouth,266940.73000000004
2012,U Mass Lowell,962223.4299999999
2013,U Mass Amherst,6528146.93
2013,U Mass Boston,458679.62
2013,U Mass Dartmouth,369906.09
2013,U Mass Lowell,1534092.3
2014,U Mass Amherst,6508398.55
2014,U Mass Boston,599374.99
2014,U Mass Dartmouth,354641.11
2014,U Mass Lowell,2056172.37
2015,U Mass Amherst,6383640.28
2015,U Mass Boston,737413.83
2015,U Mass Dartmouth,388719.51
2015,U Mass Lowell,2435072.22
2016,U Mass Amherst,7367636.64
2016,U Mass Boston,834450.15
2016,U Mass Dartmouth,334036.04000000004
2016,U Mass Lowell,2607743.9
2017,U Mass Amherst,7219344.0
2017,U Mass Boston,861985.09
2017,U Mass Dartmouth,343500.87
2017,U Mass Lowell,2846800.0
2018,U Mass Amherst,6808990.16
2018,U Mass Boston,868942.11
2018,U Mass Dartmouth,376210.33999999997
2018,U Mass Lowell,3036777.1
2019,U Mass Amherst,7705934.22
2019,U Mass Boston,949140.02
2019,U Mass Dartmouth,323001.24
2019,U Mass Lowell,3148611.9
2020,U Mass Amherst,7501604.66
2020,U Mass Boston,812475.54
2020,U Mass Dartmouth,309448.49
2020,U Mass Lowell,3275873.1799999997
2021,U Mass Amherst,8109687.149999999
2021,U Mass Boston,1174128.48
2021,U Mass Dartmouth,272099.01
2021,U Mass Lowell,3495763.13
2021,U Mass Worcester,7067.3
2022,U Mass Amherst,9436563.69
2022,U Mass Boston,1212553.1
2022,U Mass Dartmouth,371183.5
2022,U Mass Lowell,3322249.42
2022,U Mass Worcester,118459.01
2023,U Mass Amherst,9910426.49
2023,U Mass Boston,1520107.43
2023,U Mass Dartmouth,543247.3
2023,U Mass Lowell,3679502.61
2023,U Mass Worcester,385476.99
2024,U Mass Amherst,2776944.31
2024,U Mass Boston,406211.59
2024,U Mass Dartmouth,172929.0
2024,U Mass Lowell,1028893.15
2024,U Mass Worcester,5918.27
